AIRPORT CODE,FBO,CITY,STATE,PHONE NUMBER,AVGAS QUANTITY,AVGAS PRICE PER UNIT,JET A WITH ADD QUANTITY,JET A WITH ADD PRICE PER UNIT,JET A QUANTITY,JET A PRICE PER UNIT,CN JET A QUANTITY,CN JET A PRICE PER UNIT,CN JET A WITH ADD QUANTITY,CN JET A WITH ADD PRICE PER UNIT,SAF QUANTITY,SAF PRICE PER UNIT,SAF WITH ADD QUANTITY,SAF WITH ADD PRICE PER UNIT,ICAO
BED,Jet Aviation KBED,Bedford,MA,781-274-0030,,, 1 - 200,$8.27 , 1 - 200,$8.17 ,,,,,,,,,KBED
BED,Jet Aviation KBED,Bedford,MA,781-274-0030,,, 201 - 400,$7.77 , 201 - 400,$7.67 ,,,,,,,,,KBED
BED,Jet Aviation KBED,Bedford,MA,781-274-0030,,, 401 - 750,$7.45 , 401 - 750,$7.35 ,,,,,,,,,KBED
BED,Jet Aviation KBED,Bedford,MA,781-274-0030,,, 751 - 1000,$7.39 , 751 - 1000,$7.29 ,,,,,,,,,KBED
BED,Jet Aviation KBED,Bedford,MA,781-274-0030,,, 1001 - 1500,$7.24 , 1001 - 1500,$7.14 ,,,,,,,,,KBED
BED,Jet Aviation KBED,Bedford,MA,781-274-0030,,, 1501 - 2000,$6.79 , 1501 - 2000,$6.69 ,,,,,,,,,KBED
BED,Jet Aviation KBED,Bedford,MA,781-274-0030,,,2001+,$6.69 ,2001+,$6.59 ,,,,,,,,,KBED
BFI,Modern Aviation BFI,Seattle,WA,206-762-6000,,,1+,$6.31 ,1+,$6.14 ,,,,,,,,,KBFI
BFL,Atlantic BFL,Bakersfield,CA,945-348-3090,,, 0 - 100,$6.91 , 0 - 100,$6.75 ,,,,,,,,,KBFL
BFL,Atlantic BFL,Bakersfield,CA,945-348-3090,,, 101 - 200,$6.77 , 101 - 200,$6.61 ,,,,,,,,,KBFL
BFL,Atlantic BFL,Bakersfield,CA,945-348-3090,,, 201 - 300,$6.61 , 201 - 300,$6.45 ,,,,,,,,,KBFL
BFL,Atlantic BFL,Bakersfield,CA,945-348-3090,,, 301 - 400,$6.45 , 301 - 400,$6.29 ,,,,,,,,,KBFL
BFL,Atlantic BFL,Bakersfield,CA,945-348-3090,,, 401 - 500,$6.29 , 401 - 500,$6.13 ,,,,,,,,,KBFL
BFL,Atlantic BFL,Bakersfield,CA,945-348-3090,,,501+,$6.14 ,501+,$5.98 ,,,,,,,,,KBFL
BFL,Epic Jet Center LLC,Bakersfield,CA,661-399-7011,,,All Quantities,$6.36 ,All Quantities,$6.27 ,,,,,,,,,KBFL
BFZ,Albertville Aviation Inc,Albertville,AL,256-878-1433,,,All Quantities,$6.53 ,All Quantities,$6.53 ,1+,$0.21 ,,,1+,$0.21 ,,,KBFZ
BGF,Winchester Municipal Airport,Winchester,TN,931-967-3148,,,All Quantities,$4.54 ,All Quantities,$4.54 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KBGF
BGI,Cayman Dispatch - Barbados,Seawell,,345-949-8960,,,All Quantities,$4.50 ,All Quantities,$4.50 ,,,,,,,,,TBPB
BGM,BGM Services,Johnson City,NY,607-644-1062,,, 1 - 500,$7.02 , 1 - 500,$6.97 ,,,,,,,,,KBGM
BGM,BGM Services,Johnson City,NY,607-644-1062,,, 501 - 1000,$6.73 , 501 - 1000,$6.68 ,,,,,,,,,KBGM
BGM,BGM Services,Johnson City,NY,607-644-1062,,,1001+,$6.52 ,1001+,$6.47 ,,,,,,,,,KBGM
BGR,BGR Domestic,Bangor,ME,207-992-4582,,, 0 - 1000,$5.21 , 0 - 1000,$5.15 ,,,,,,,,,KBGR
BGR,BGR Domestic,Bangor,ME,207-992-4582,,, 1001 - 3000,$5.15 , 1001 - 3000,$5.09 ,,,,,,,,,KBGR
BGR,BGR Domestic,Bangor,ME,207-992-4582,,,3001+,$5.06 ,3001+,$5.00 ,,,,,,,,,KBGR
BGR,BGR International,Bangor,ME,207-992-4582,,, 0 - 1000,$5.18 , 0 - 1000,$5.12 ,,,,,,,,,KBGR
BGR,BGR International,Bangor,ME,207-992-4582,,, 1001 - 3000,$5.11 , 1001 - 3000,$5.05 ,,,,,,,,,KBGR
BGR,BGR International,Bangor,ME,207-992-4582,,,3001+,$5.02 ,3001+,$4.96 ,,,,,,,,,KBGR
BHB,Modern Aviation BHB,Trenton,ME,207-667-5534,,, 0 - 349,$8.32 , 0 - 349,$8.17 ,,,,,,,,,KBHB
BHB,Modern Aviation BHB,Trenton,ME,207-667-5534,,, 350 - 799,$8.29 , 350 - 799,$8.14 ,,,,,,,,,KBHB
BHB,Modern Aviation BHB,Trenton,ME,207-667-5534,,, 800 - 1199,$8.24 , 800 - 1199,$8.09 ,,,,,,,,,KBHB
BHB,Modern Aviation BHB,Trenton,ME,207-667-5534,,,1200+,$8.14 ,1200+,$7.99 ,,,,,,,,,KBHB
BHM,Atlantic BHM West,Birmingham,AL,945-348-3090,,, 0 - 100,$6.74 , 0 - 100,$6.59 ,,,,,,,,,KBHM
BHM,Atlantic BHM West,Birmingham,AL,945-348-3090,,, 101 - 200,$6.56 , 101 - 200,$6.41 ,,,,,,,,,KBHM
BHM,Atlantic BHM West,Birmingham,AL,945-348-3090,,, 201 - 300,$6.38 , 201 - 300,$6.23 ,,,,,,,,,KBHM
BHM,Atlantic BHM West,Birmingham,AL,945-348-3090,,, 301 - 400,$6.20 , 301 - 400,$6.05 ,,,,,,,,,KBHM
BHM,Atlantic BHM West,Birmingham,AL,945-348-3090,,, 401 - 500,$6.02 , 401 - 500,$5.87 ,,,,,,,,,KBHM
BHM,Atlantic BHM West,Birmingham,AL,945-348-3090,,,501+,$5.84 ,501+,$5.69 ,,,,,,,,,KBHM
BIH,Bishop Airport,Bishop,CA,760-872-2971,,,All Quantities,$6.81 ,All Quantities,$6.81 ,,,,,,,,,KBIH
BKT,Partner Aviation,Blackstone,VA,434-292-7251,,,1+,$6.28 ,1+,$6.28 ,1+,$0.00 ,,,1+,$0.00 ,,,KBKT
BKW,Raleigh County Memorial,Beaver,WV,304-255-0476,,,1+,$5.57 ,1+,$5.57 ,1+,$0.00 ,,,1+,$0.00 ,,,KBKW
BKX,Pheasants Fury Aviation LLC,Brookings,SD,605-376-9708,,, 0 - 999,$6.31 , 0 - 999,$6.31 ,1+,$0.00 ,,,1+,$0.00 ,,,KBKX
BKX,Pheasants Fury Aviation LLC,Brookings,SD,605-376-9708,,,1000+,$6.07 ,1000+,$6.07 ,,,,,,,,,KBKX
BLM,Monmouth Jet Center,Wall Township,NJ,732-751-0044,,, 1 - 350,$6.91 , 1 - 350,$6.86 ,,,,,,,,,KBLM
BLM,Monmouth Jet Center,Wall Township,NJ,732-751-0044,,, 351 - 700,$6.83 , 351 - 700,$6.78 ,,,,,,,,,KBLM
BLM,Monmouth Jet Center,Wall Township,NJ,732-751-0044,,,701+,$6.73 ,701+,$6.68 ,,,,,,,,,KBLM
BNA,Atlantic BNA,Nashville,TN,945-348-3090,,, 0 - 300,$7.12 , 0 - 300,$6.96 ,,,,,,,,,KBNA
BNA,Atlantic BNA,Nashville,TN,945-348-3090,,, 301 - 600,$6.96 , 301 - 600,$6.80 ,,,,,,,,,KBNA
BNA,Atlantic BNA,Nashville,TN,945-348-3090,,, 601 - 900,$6.78 , 601 - 900,$6.63 ,,,,,,,,,KBNA
BNA,Atlantic BNA,Nashville,TN,945-348-3090,,, 901 - 1200,$6.59 , 901 - 1200,$6.44 ,,,,,,,,,KBNA
BNA,Atlantic BNA,Nashville,TN,945-348-3090,,, 1201 - 1500,$6.42 , 1201 - 1500,$6.26 ,,,,,,,,,KBNA
BNA,Atlantic BNA,Nashville,TN,945-348-3090,,,1501+,$6.23 ,1501+,$6.07 ,,,,,,,,,KBNA
BOI,Jackson Jet Center BOI,Boise,ID,208-884-6666,,, 1 - 500,$5.98 , 1 - 500,$5.86 ,,,,,,,,,KBOI
BOI,Jackson Jet Center BOI,Boise,ID,208-884-6666,,, 501 - 1000,$6.00 , 501 - 1000,$5.88 ,,,,,,,,,KBOI
BOI,Jackson Jet Center BOI,Boise,ID,208-884-6666,,,1001+,$5.90 ,1001+,$5.78 ,,,,,,,,,KBOI
BPT,Jack Brooks Regional Airport,Beaumont,TX,409-719-4900,,,All Quantities,$7.48 ,All Quantities,$7.43 ,,,,,,,,,KBPT
BQN,Copeca Jet Center,Aquadilla,PR,787-890-1250,,,1+,$6.35 ,1+,$6.35 ,,,,,,,,,TJBQ
BRL,Jet Air Inc BRL,Burlington,IA,309-342-3134,,, 1 - 99,$6.17 , 1 - 99,$6.17 ,1+,$0.00 ,,,1+,$0.00 ,,,KBRL
BRL,Jet Air Inc BRL,Burlington,IA,309-342-3134,,, 100 - 249,$6.13 , 100 - 249,$6.13 ,,,,,,,,,KBRL
BRL,Jet Air Inc BRL,Burlington,IA,309-342-3134,,, 250 - 499,$6.08 , 250 - 499,$6.08 ,,,,,,,,,KBRL
BRL,Jet Air Inc BRL,Burlington,IA,309-342-3134,,, 500 - 749,$6.03 , 500 - 749,$6.03 ,,,,,,,,,KBRL
BRL,Jet Air Inc BRL,Burlington,IA,309-342-3134,,, 750 - 999,$5.98 , 750 - 999,$5.98 ,,,,,,,,,KBRL
BRL,Jet Air Inc BRL,Burlington,IA,309-342-3134,,,1000+,$5.93 ,1000+,$5.93 ,,,,,,,,,KBRL
BST,City of Belfast,Belfast,ME,207-338-3370,,,1+,$5.29 ,1+,$5.29 ,,,,,,,,,KBST
BTR,Velocity FBO Network ,Baton Rouge,LA,239-243-0644,,, 1 - 500,$6.55 , 1 - 500,$6.55 ,1+,$0.00 ,,,1+,$0.00 ,,,KBTR
BTR,Velocity FBO Network ,Baton Rouge,LA,239-243-0644,,, 501 - 1000,$6.46 , 501 - 1000,$6.46 ,,,,,,,,,KBTR
BTR,Velocity FBO Network ,Baton Rouge,LA,239-243-0644,,, 1001 - 1500,$6.36 , 1001 - 1500,$6.36 ,,,,,,,,,KBTR
BTR,Velocity FBO Network ,Baton Rouge,LA,239-243-0644,,, 1501 - 2000,$6.30 , 1501 - 2000,$6.30 ,,,,,,,,,KBTR
BTR,Velocity FBO Network ,Baton Rouge,LA,239-243-0644,,,2001+,$6.15 ,2001+,$6.15 ,,,,,,,,,KBTR
BUR,Atlantic BUR,Burbank,CA,945-348-3090,,, 0 - 300,$6.10 , 0 - 300,$5.93 ,,,,,,,,,KBUR
BUR,Atlantic BUR,Burbank,CA,945-348-3090,,, 301 - 600,$6.02 , 301 - 600,$5.85 ,,,,,,,,,KBUR
BUR,Atlantic BUR,Burbank,CA,945-348-3090,,, 601 - 900,$5.91 , 601 - 900,$5.74 ,,,,,,,,,KBUR
BUR,Atlantic BUR,Burbank,CA,945-348-3090,,, 901 - 1200,$5.81 , 901 - 1200,$5.64 ,,,,,,,,,KBUR
BUR,Atlantic BUR,Burbank,CA,945-348-3090,,, 1201 - 1500,$5.70 , 1201 - 1500,$5.53 ,,,,,,,,,KBUR
BUR,Atlantic BUR,Burbank,CA,945-348-3090,,, 1501 - 2500,$5.60 , 1501 - 2500,$5.43 ,,,,,,,,,KBUR
BUR,Atlantic BUR,Burbank,CA,945-348-3090,,, 2501 - 5000,$5.56 , 2501 - 5000,$5.39 ,,,,,,,,,KBUR
BUR,Atlantic BUR,Burbank,CA,945-348-3090,,,5001+,$5.52 ,5001+,$5.35 ,,,,,,,,,KBUR
BUY,SkySouth Aviation Services Inc,Burlington,NC,888-759-7688,,, 1 - 249,$7.39 , 1 - 249,$7.39 ,1+,$0.00 ,,,1+,$0.00 ,,,KBUY
BUY,SkySouth Aviation Services Inc,Burlington,NC,888-759-7688,,, 250 - 399,$7.10 , 250 - 399,$7.10 ,,,,,,,,,KBUY
BUY,SkySouth Aviation Services Inc,Burlington,NC,888-759-7688,,, 400 - 749,$6.77 , 400 - 749,$6.77 ,,,,,,,,,KBUY
BUY,SkySouth Aviation Services Inc,Burlington,NC,888-759-7688,,,750+,$6.24 ,750+,$6.24 ,,,,,,,,,KBUY
BVX,Batesville Regional Airport,Batesville,AR,870-251-1244,,,All Quantities,$5.35 ,All Quantities,$5.35 ,,,,,,,,,KBVX
BVY,Flightlevel Aviation BVY,Danvers,MA,978-774-2070,,,All Quantities,$7.31 ,All Quantities,$7.21 ,,,,,,,,,KBVY
BWG,Co-Mar Aviation LLC,Bowling Green,KY,270-781-9797,,, 1 - 250,$7.15 , 1 - 250,$7.15 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KBWG
BWG,Co-Mar Aviation LLC,Bowling Green,KY,270-781-9797,,, 251 - 500,$7.00 , 251 - 500,$7.00 ,,,,,,,,,KBWG
BWG,Co-Mar Aviation LLC,Bowling Green,KY,270-781-9797,,,501+,$6.90 ,501+,$6.90 ,,,,,,,,,KBWG
BXM,Flight Level Brunswick LLC,Brunswick,ME,207-406-2081,,,1+,$7.27 ,1+,$7.17 ,,,,,,,,,KBXM
BYL,Williamsburg Whitley County Airport,Williamsburg,KY,606-549-2688,,,All Quantities,$5.45 ,All Quantities,$5.46 ,All Quantities,$0.15 ,,,All Quantities,$0.15 ,,,KBYL
BYY,City of Bay City,Bay City,TX,979-244-5037,,,All Quantities,$5.99 ,All Quantities,$5.94 ,,,,,,,,,KBYY
BZN,Jet Aviation KBZN,Belgrade,MT,201-462-4000,,, 1 - 250,$6.27 , 1 - 250,$6.19 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KBZN
BZN,Jet Aviation KBZN,Belgrade,MT,201-462-4000,,, 251 - 500,$6.26 , 251 - 500,$6.18 ,,,,,,,,,KBZN
BZN,Jet Aviation KBZN,Belgrade,MT,201-462-4000,,, 501 - 750,$6.23 , 501 - 750,$6.15 ,,,,,,,,,KBZN
BZN,Jet Aviation KBZN,Belgrade,MT,201-462-4000,,, 751 - 1000,$6.20 , 751 - 1000,$6.12 ,,,,,,,,,KBZN
BZN,Jet Aviation KBZN,Belgrade,MT,201-462-4000,,, 1001 - 1500,$6.17 , 1001 - 1500,$6.09 ,,,,,,,,,KBZN
BZN,Jet Aviation KBZN,Belgrade,MT,201-462-4000,,, 1501 - 2000,$6.14 , 1501 - 2000,$6.06 ,,,,,,,,,KBZN
BZN,Jet Aviation KBZN,Belgrade,MT,201-462-4000,,,2001+,$6.11 ,2001+,$6.03 ,,,,,,,,,KBZN
CAE,Eagle Aviation CAE,West Columbia,SC,803-822-5538,,, 1 - 300,$6.72 , 1 - 300,$6.61 , 1 - 40,$1.40 ,,, 1 - 40,$1.40 ,,,KCAE
CAE,Eagle Aviation CAE,West Columbia,SC,803-822-5538,,, 301 - 500,$6.63 , 301 - 500,$6.53 , 41 - 299,$1.15 ,,, 41 - 299,$1.15 ,,,KCAE
CAE,Eagle Aviation CAE,West Columbia,SC,803-822-5538,,, 501 - 1000,$6.53 , 501 - 1000,$6.43 , 300 - 499,$1.00 ,,, 300 - 499,$1.00 ,,,KCAE
CAE,Eagle Aviation CAE,West Columbia,SC,803-822-5538,,, 1001 - 1500,$6.43 , 1001 - 1500,$6.33 , 500 - 999,$0.95 ,,, 500 - 999,$0.95 ,,,KCAE
CAE,Eagle Aviation CAE,West Columbia,SC,803-822-5538,,,1501+,$6.23 ,1501+,$6.13 ,1000+,$0.50 ,,,1000+,$0.50 ,,,KCAE
CCO,CCO Airport Services,Newnan,GA,770-254-8102,,,All Quantities,$4.84 ,All Quantities,$4.84 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KCCO
CDH,City of Camden,Camden,AR,870-818-3408,,,All Quantities,$6.02 ,All Quantities,$6.02 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KCDH
CDW,Air Bound Aviation Inc,Fairfield,NJ,973-575-1833,,,1+,$6.94 ,1+,$6.94 ,,,,,,,,,KCDW
CDW,Air Bound Aviation LLC,Fairfield,NJ,973-575-1833,,,All Quantities,$6.99 ,All Quantities,$6.99 ,,,,,,,,,KCDW
CEC,Cal-Ore Life Flight LLC,Crescent City,CA,707-465-6804,,, 1 - 99,$7.72 , 1 - 99,$7.61 ,,,,,,,,,KCEC
CEC,Cal-Ore Life Flight LLC,Crescent City,CA,707-465-6804,,, 100 - 249,$7.68 , 100 - 249,$7.58 ,,,,,,,,,KCEC
CEC,Cal-Ore Life Flight LLC,Crescent City,CA,707-465-6804,,, 250 - 399,$7.63 , 250 - 399,$7.53 ,,,,,,,,,KCEC
CEC,Cal-Ore Life Flight LLC,Crescent City,CA,707-465-6804,,,400+,$7.58 ,400+,$7.48 ,,,,,,,,,KCEC
CEU,Oconee County Airport,Seneca,SC,864-882-2959,,,All Quantities,$7.57 ,All Quantities,$7.57 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KCEU
CEW,Emerald Coast Aviation,Crestview,FL,850-951-3616,,,All Quantities,$6.46 ,All Quantities,$6.40 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KCEW
CEY,Murray Calloway County Airport,Murray,KY,270-489-2414,,,All Quantities,$6.03 ,All Quantities,$6.03 ,,,,,,,,,KCEY
CGE,Cambridge-Dorchester Regional AP,Cambridge,MD,410-228-4571,,,1+,$4.59 ,1+,$4.59 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KCGE
CGI,Cape Aviation,Cape Girardeau,MO,573-335-6632,,, 1 - 499,$5.85 , 1 - 499,$5.85 ,1+,$0.15 ,,,1+,$0.15 ,,,KCGI
CGI,Cape Aviation,Cape Girardeau,MO,573-335-6632,,,500+,$5.54 ,500+,$5.54 ,,,,,,,,,KCGI
CHA,Wilson Air Center CHA,Chattanooga,TN,423-855-2260,,, 0 - 500,$7.00 , 0 - 500,$6.90 ,1+,$0.00 ,,,1+,$0.00 ,,,KCHA
CHA,Wilson Air Center CHA,Chattanooga,TN,423-855-2260,,, 501 - 1000,$6.95 , 501 - 1000,$6.85 ,,,,,,,,,KCHA
CHA,Wilson Air Center CHA,Chattanooga,TN,423-855-2260,,, 1001 - 2000,$6.90 , 1001 - 2000,$6.79 ,,,,,,,,,KCHA
CHA,Wilson Air Center CHA,Chattanooga,TN,423-855-2260,,,2001+,$6.85 ,2001+,$6.74 ,,,,,,,,,KCHA
CHS,Atlantic CHS,North Charleston,SC,945-348-3090,,, 0 - 200,$7.69 , 0 - 200,$7.53 ,,,,,,,,,KCHS
CHS,Atlantic CHS,North Charleston,SC,945-348-3090,,, 201 - 400,$7.50 , 201 - 400,$7.34 ,,,,,,,,,KCHS
CHS,Atlantic CHS,North Charleston,SC,945-348-3090,,, 401 - 600,$7.30 , 401 - 600,$7.13 ,,,,,,,,,KCHS
CHS,Atlantic CHS,North Charleston,SC,945-348-3090,,, 601 - 800,$7.09 , 601 - 800,$6.93 ,,,,,,,,,KCHS
CHS,Atlantic CHS,North Charleston,SC,945-348-3090,,, 801 - 1000,$6.88 , 801 - 1000,$6.72 ,,,,,,,,,KCHS
CHS,Atlantic CHS,North Charleston,SC,945-348-3090,,, 1001 - 2500,$6.68 , 1001 - 2500,$6.51 ,,,,,,,,,KCHS
CHS,Atlantic CHS,North Charleston,SC,945-348-3090,,,2501+,$6.39 ,2501+,$6.23 ,,,,,,,,,KCHS
CIC,Northgate Aviation,Chico,CA,530-893-6727,,,All Quantities,$7.14 ,All Quantities,$7.03 ,,,,,,,,,KCIC
CKB,V1Aviation,Bridgeport,WV,304-842-3400,,, 1 - 500,$6.75 , 1 - 500,$6.65 ,,,,,,,,,KCKB
CKB,V1Aviation,Bridgeport,WV,304-842-3400,,, 501 - 999,$6.66 , 501 - 999,$6.56 ,,,,,,,,,KCKB
CKB,V1Aviation,Bridgeport,WV,304-842-3400,,,1000+,$6.56 ,1000+,$6.46 ,,,,,,,,,KCKB
CKV,Clarksville Regional Airport,Clarksville,TN,931-431-2080,,,All Quantities,$5.68 ,All Quantities,$5.68 ,,,,,,,,,KCKV
CLE,Jets CLE,Cleveland,OH,216-389-6042,,, 1 - 300,$7.56 , 1 - 300,$7.45 ,1+,$0.00 ,,,1+,$0.00 ,,,KCLE
CLE,Jets CLE,Cleveland,OH,216-389-6042,,, 301 - 500,$7.47 , 301 - 500,$7.36 ,,,,,,,,,KCLE
CLE,Jets CLE,Cleveland,OH,216-389-6042,,, 501 - 1000,$7.32 , 501 - 1000,$7.21 ,,,,,,,,,KCLE
CLE,Jets CLE,Cleveland,OH,216-389-6042,,, 1001 - 1499,$7.22 , 1001 - 1499,$7.11 ,,,,,,,,,KCLE
CLE,Jets CLE,Cleveland,OH,216-389-6042,,,1500+,$6.92 ,1500+,$6.81 ,,,,,,,,,KCLE
CLM,Citizen Air LLC,Port Angeles,WA,360-452-6226,,, 1 - 300,$5.96 , 1 - 300,$5.88 ,,,,,,,,,KCLM
CLM,Citizen Air LLC,Port Angeles,WA,360-452-6226,,, 301 - 500,$5.91 , 301 - 500,$5.83 ,,,,,,,,,KCLM
CLM,Citizen Air LLC,Port Angeles,WA,360-452-6226,,, 501 - 999,$5.86 , 501 - 999,$5.78 ,,,,,,,,,KCLM
CLM,Citizen Air LLC,Port Angeles,WA,360-452-6226,,,1000+,$5.81 ,1000+,$5.73 ,,,,,,,,,KCLM
CLT,Modern Aviation CLT,Charlotte,NC,704-359-0440,,, 1 - 500,$7.91 , 1 - 500,$7.79 ,1+,$0.00 ,,,1+,$0.00 ,,,KCLT
CLT,Modern Aviation CLT,Charlotte,NC,704-359-0440,,, 501 - 1000,$7.77 , 501 - 1000,$7.66 ,,,,,,,,,KCLT
CLT,Modern Aviation CLT,Charlotte,NC,704-359-0440,,, 1001 - 1500,$7.61 , 1001 - 1500,$7.50 ,,,,,,,,,KCLT
CLT,Modern Aviation CLT,Charlotte,NC,704-359-0440,,, 1501 - 2500,$7.29 , 1501 - 2500,$7.18 ,,,,,,,,,KCLT
CLT,Modern Aviation CLT,Charlotte,NC,704-359-0440,,,2501+,$6.87 ,2501+,$6.75 ,,,,,,,,,KCLT
CMA,Channel Islands Aviation Inc,Camarillo,CA,805-987-1301,,, 0 - 250,$5.82 , 0 - 250,$5.77 ,,,,,,,,,KCMA
CMA,Channel Islands Aviation Inc,Camarillo,CA,805-987-1301,,, 251 - 500,$5.73 , 251 - 500,$5.68 ,,,,,,,,,KCMA
CMA,Channel Islands Aviation Inc,Camarillo,CA,805-987-1301,,,501+,$5.63 ,501+,$5.58 ,,,,,,,,,KCMA
CNO,Chino Fuel Services LLC,Chino,CA,909-579-6566,,,1+,$5.48 ,1+,$5.43 ,,,,,,,,,KCNO
COD,Ascension FBO Network - KCOD,Cody,WY,307-587-9262,,, 0 - 500,$7.11 , 0 - 500,$6.96 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KCOD
COD,Ascension FBO Network - KCOD,Cody,WY,307-587-9262,,, 501 - 1000,$6.53 , 501 - 1000,$6.38 ,,,,,,,,,KCOD
COD,Ascension FBO Network - KCOD,Cody,WY,307-587-9262,,,1001+,$6.38 ,1001+,$6.23 ,,,,,,,,,KCOD
CON,Concord Aviation Services,Concord,NH,603-228-2267,,, 0 - 100,$7.38 , 0 - 100,$7.38 ,,,,,,,,,KCON
CON,Concord Aviation Services,Concord,NH,603-228-2267,,, 101 - 500,$7.24 , 101 - 500,$7.24 ,,,,,,,,,KCON
CON,Concord Aviation Services,Concord,NH,603-228-2267,,, 501 - 1000,$7.14 , 501 - 1000,$7.14 ,,,,,,,,,KCON
CON,Concord Aviation Services,Concord,NH,603-228-2267,,, 1001 - 2000,$7.01 , 1001 - 2000,$7.01 ,,,,,,,,,KCON
CON,Concord Aviation Services,Concord,NH,603-228-2267,,,2001+,$6.89 ,2001+,$6.89 ,,,,,,,,,KCON
COS,Cutter Aviation COS,Colorado Springs,CO,505-842-4184,,, 1 - 500,$4.85 , 1 - 500,$4.85 ,,,,,,,,,KCOS
COS,Cutter Aviation COS,Colorado Springs,CO,505-842-4184,,, 501 - 1000,$4.75 , 501 - 1000,$4.75 ,,,,,,,,,KCOS
COS,Cutter Aviation COS,Colorado Springs,CO,505-842-4184,,, 1001 - 2000,$4.65 , 1001 - 2000,$4.65 ,,,,,,,,,KCOS
COS,Cutter Aviation COS,Colorado Springs,CO,505-842-4184,,,2001+,$4.55 ,2001+,$4.55 ,,,,,,,,,KCOS
CPR,Atlantic CPR,Casper,WY,945-348-3090,,, 1 - 100,$8.22 , 1 - 100,$8.03 ,,,,,,,,,KCPR
CPR,Atlantic CPR,Casper,WY,945-348-3090,,, 101 - 200,$8.11 , 101 - 200,$7.92 ,,,,,,,,,KCPR
CPR,Atlantic CPR,Casper,WY,945-348-3090,,, 201 - 300,$8.00 , 201 - 300,$7.81 ,,,,,,,,,KCPR
CPR,Atlantic CPR,Casper,WY,945-348-3090,,, 301 - 400,$7.88 , 301 - 400,$7.69 ,,,,,,,,,KCPR
CPR,Atlantic CPR,Casper,WY,945-348-3090,,, 401 - 500,$7.78 , 401 - 500,$7.59 ,,,,,,,,,KCPR
CPR,Atlantic CPR,Casper,WY,945-348-3090,,,501+,$7.66 ,501+,$7.47 ,,,,,,,,,KCPR
CPS,Jet Aviation KCPS,Cahokia,IL,618-646-8262,,, 0 - 750,$7.27 , 0 - 750,$7.27 ,1+,$0.00 ,,,1+,$0.00 ,,,KCPS
CPS,Jet Aviation KCPS,Cahokia,IL,618-646-8262,,, 751 - 1500,$7.04 , 751 - 1500,$7.04 ,,,,,,,,,KCPS
CPS,Jet Aviation KCPS,Cahokia,IL,618-646-8262,,, 1501 - 3000,$6.79 , 1501 - 3000,$6.79 ,,,,,,,,,KCPS
CPS,Jet Aviation KCPS,Cahokia,IL,618-646-8262,,,3001+,$6.54 ,3001+,$6.54 ,,,,,,,,,KCPS
CQF,Flightline First CQF,Fairhope,AL,504-252-1265,,,All Quantities,$6.93 ,All Quantities,$6.93 ,1+,$0.00 ,,,1+,$0.00 ,,,KCQF
CRG,Sky Harbor Aviation,Jacksonville,FL,904-641-8555,,,1+,$5.00 ,1+,$4.92 ,,,,,,,,,KCRG
CRP,Atlantic CRP,Corpus Christi,TX,945-348-3090,,, 0 - 100,$7.42 , 0 - 100,$7.22 ,,,,,,,,,KCRP
CRP,Atlantic CRP,Corpus Christi,TX,945-348-3090,,, 101 - 200,$7.31 , 101 - 200,$7.11 ,,,,,,,,,KCRP
CRP,Atlantic CRP,Corpus Christi,TX,945-348-3090,,, 201 - 300,$7.21 , 201 - 300,$7.01 ,,,,,,,,,KCRP
CRP,Atlantic CRP,Corpus Christi,TX,945-348-3090,,, 301 - 400,$7.11 , 301 - 400,$6.91 ,,,,,,,,,KCRP
CRP,Atlantic CRP,Corpus Christi,TX,945-348-3090,,, 401 - 500,$7.00 , 401 - 500,$6.80 ,,,,,,,,,KCRP
CRP,Atlantic CRP,Corpus Christi,TX,945-348-3090,,,501+,$6.89 ,501+,$6.69 ,,,,,,,,,KCRP
CRQ,Atlantic CRQ,Carlsbad,CA,945-348-3090,,, 0 - 300,$9.80 , 0 - 300,$9.64 ,,,,,,,,,KCRQ
CRQ,Atlantic CRQ,Carlsbad,CA,945-348-3090,,, 301 - 600,$9.58 , 301 - 600,$9.42 ,,,,,,,,,KCRQ
CRQ,Atlantic CRQ,Carlsbad,CA,945-348-3090,,, 601 - 900,$9.34 , 601 - 900,$9.18 ,,,,,,,,,KCRQ
CRQ,Atlantic CRQ,Carlsbad,CA,945-348-3090,,, 901 - 1200,$9.10 , 901 - 1200,$8.94 ,,,,,,,,,KCRQ
CRQ,Atlantic CRQ,Carlsbad,CA,945-348-3090,,, 1201 - 1500,$8.85 , 1201 - 1500,$8.69 ,,,,,,,,,KCRQ
CRQ,Atlantic CRQ,Carlsbad,CA,945-348-3090,,,1501+,$8.61 ,1501+,$8.45 ,,,,,,,,,KCRQ
