ICAO,FBO,TIER,PRICE,NAME,
KCRE,BEACH AVIATION SERVICES,301,5.52072,1)Minimum notice required: NA 2) Ramps serviced: Own Ramp 3) Additional Information: Hours of operation: 0600 - 2100 daily// Fuel available after hours with fee Avgas is self serve,
KCRE,BEACH AVIATION SERVICES,501,5.41272,1)Minimum notice required: NA 2) Ramps serviced: Own Ramp 3) Additional Information: Hours of operation: 0600 - 2100 daily// Fuel available after hours with fee Avgas is self serve,
KCRE,BEACH AVIATION SERVICES,751,5.30472,1)Minimum notice required: NA 2) Ramps serviced: Own Ramp 3) Additional Information: Hours of operation: 0600 - 2100 daily// Fuel available after hours with fee Avgas is self serve,
KCRE,BEACH AVIATION SERVICES,1501,5.08872,1)Minimum notice required: NA 2) Ramps serviced: Own Ramp 3) Additional Information: Hours of operation: 0600 - 2100 daily// Fuel available after hours with fee Avgas is self serve,
KCRE,BEACH AVIATION SERVICES,2001,4.92672,1)Minimum notice required: NA 2) Ramps serviced: Own Ramp 3) Additional Information: Hours of operation: 0600 - 2100 daily// Fuel available after hours with fee Avgas is self serve,
KCRG,JAX EXECUTIVE JET CENTER,1,4.32556,,
KCRG,SKY HARBOR AVIATION,1,4.30000,,
KCRP,ATLANTIC AVIATION,1,7.15000,,
KCRP,STERLING AIR,1,5.62225,,
KCRP,STERLING AIR,251,5.44225,,
KCRQ,ATLANTIC AVIATION,1,8.70160,,
KCRQ,CARLSBAD JET CENTER,1,6.66227,,
KCRQ,WESTERN AVIATION LLC,1,5.22000,,
KCRW,CAPITAL JET CENTER,1,5.50138,Hours of operation: 24/7 1) Minimum Notice Required: NONE 2) Ramps serviced:All Ramps 11) Additional Information: PRIST AND AVAS AVAILABLE -UNICOM 122.95 - Hangar Space call ahead For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
KCRX,CORINTH AIRPORT,1,4.40000,,
KCSG,FLIGHTWAYS COLUMBUS,1,5.60858,,
KCSG,FLIGHTWAYS COLUMBUS,150,5.54798,,
KCSG,FLIGHTWAYS COLUMBUS,350,5.48738,,
KCSG,FLIGHTWAYS COLUMBUS,500,5.40658,,
KCSG,FLIGHTWAYS COLUMBUS,750,5.33588,,
KCSG,FLIGHTWAYS COLUMBUS,1000,5.28538,,
KCSG,FLIGHTWAYS COLUMBUS,1500,5.26518,,
KCSV,AZURE FLIGHT SUPPORT,1,4.85000,,
KCTB,CUT BANK MUNICIPAL,1,4.25000,,
KCTJ,WEST GEORGIA REGIONAL AIRPORT,1,5.58650,,
KCTJ,WEST GEORGIA REGIONAL AIRPORT,251,5.43650,,
KCTJ,WEST GEORGIA REGIONAL AIRPORT,501,5.33650,,
KCTJ,WEST GEORGIA REGIONAL AIRPORT,751,5.23650,,
KCTJ,WEST GEORGIA REGIONAL AIRPORT,1001,5.13650,,
KCTY,DIXIE AVIATION SVCS,1,4.86300,,
KCUB,EAGLE AVIATION,1,5.39000,,
KCUB,EAGLE AVIATION,200,5.29000,,
KCUB,EAGLE AVIATION,1001,5.09000,,
KCUB,EAGLE AVIATION,2001,4.89000,,
KCVB,CASTROVILLE MUNICIPAL,1,3.88000,,
KCVB,CASTROVILLE MUNICIPAL,201,3.83000,,
KCVB,CASTROVILLE MUNICIPAL,501,3.78000,,
KCVB,CASTROVILLE MUNICIPAL,1001,3.73000,,
KCVC,CITY OF COVINGTON,1,5.05000,,
KCVC,CITY OF COVINGTON,250,4.95000,,
KCVC,CITY OF COVINGTON,500,4.85000,,
KCVG,PREMIER FBO,1,5.74095,,
KCVH,HOLLISTER JET CENTER,1,6.66094,,
KCVH,HOLLISTER JET CENTER,51,6.16094,,
KCVH,HOLLISTER JET CENTER,101,5.56094,,
KCVH,HOLLISTER JET CENTER,250,5.46094,,
KCVH,HOLLISTER JET CENTER,501,5.36094,,
KCVH,HOLLISTER JET CENTER,801,5.26094,,
KCVN,CVN AVIATION,1,4.76486,,
KCVO,CORVALLIS AERO SVC,1,5.51834,,
KCVO,CORVALLIS AERO SVC,301,5.16834,,
KCVO,CORVALLIS AERO SVC,701,5.01834,,
KCVO,CORVALLIS AERO SVC,1201,4.61834,,
KCVX,CHARLEVOIX MUNICIPAL AIRPORT,1,5.70328,,
KCVX,CHARLEVOIX MUNICIPAL AIRPORT,401,5.43828,,
KCVX,CHARLEVOIX MUNICIPAL AIRPORT,801,5.17328,,
KCWA,OVATION CWA LLC,1,5.86000,,
KCWA,OVATION CWA LLC,500,5.66000,,
KCWA,OVATION CWA LLC,1000,5.51000,,
KCWF,MILLION AIR LAKE CHARLES,1,5.94000,,
KCWF,MILLION AIR LAKE CHARLES,176,5.89000,,
KCWF,MILLION AIR LAKE CHARLES,476,5.78000,,
KCWF,MILLION AIR LAKE CHARLES,1126,5.73000,,
KCWF,MILLION AIR LAKE CHARLES,2176,5.68000,,
KCWI,CLINTON AIRPORT,1,5.21000,,
KCWI,CLINTON AIRPORT,1001,5.12000,,
KCXO,GALAXY FBO HOLDINGS LLC,1,4.60000,,
KCXO,GENERAL AVIATION JET CENTER,1,4.60000,,
KCXP,MOUNTAIN WEST AVIATION,1,5.98000,,
KCXP,MOUNTAIN WEST AVIATION,250,5.89000,,
KCXP,MOUNTAIN WEST AVIATION,500,5.64000,,
KCXP,MOUNTAIN WEST AVIATION,1000,5.14000,,
KCXP,STELLAR AVIATION,1,4.81320,,
KCXU,CAMILLA DPT-AVIATION,1,5.58000,,
KCXW,CITY OF CONWAY,1,5.25000,,
KCXY,SKYPORT AVIATION,1,5.74989,1) Minimum Notice Required: NONE 2) Ramps serviced:All ramps 3) Additional Information: Prist and Avgas available Operating Hours: 7 days a week from 0700 - 2100/ After Hours fueling available// $100 per hour FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com,
KCYS,LEGEND AEROSERVE,1,5.22626,,
KCYS,LEGEND AEROSERVE,300,5.12626,,
KCYS,LEGEND AEROSERVE,500,5.02626,,
KCZL,TOM B DAVID AIRPORT,1,4.99000,,
KCZT,BLUE NEST AVIATION,1,5.17629,N/A,
KCZT,BLUE NEST AVIATION,251,5.07629,N/A,
KCZT,BLUE NEST AVIATION,601,4.97629,N/A,
KDAB,ATP JET CENTER,1,4.39434,1) Minimum Notice Required: None 2) Ramps serviced: Own ramp 3) Operating Hours: 0800-2000 Local 7 Days 4) Additional Information: Prist & Avgas is available. After hours service is also available call GFL for more information. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
KDAB,SHELTAIR,1,5.34791,,
KDAB,YELVINGTON JET AVIATION,1,5.34000,,
KDAL,ATLANTIC AVIATION,1,4.64000,,
KDAL,BUSINESS JET,1,4.48300,,
KDAL,JET AVIATION,1,4.53000,,
KDAL,SIGNATURE AVIATION TERMINAL 1,1,5.25450,,
KDAL,SIGNATURE AVIATION TERMINAL 2,1,5.25450,,
KDAL,SIGNATURE AVIATION TERMINAL 3 AT ALPHA 3,1,5.25450,,
KDAL,SIGNATURE AVIATION TERMINAL 4,1,5.25450,,
KDAN,AU AVIATION SERVICES,1,6.03000,,
KDAN,AU AVIATION SERVICES,250,5.93000,,
KDAN,AU AVIATION SERVICES,500,5.83000,,
KDAN,AU AVIATION SERVICES,1000,5.73000,,
KDAY,PREMIER FBO,1,4.35325,,
KDAY,PREMIER FBO,200,4.30325,,
KDAY,PREMIER FBO,500,4.20325,,
KDAY,PREMIER FBO,1000,4.10325,,
KDAY,PREMIER FBO,2000,4.05325,,
KDAY,WRIGHT BROS AERO,1,4.35000,,
KDBQ,DUBUQUE JET CENTER,1,7.55603,***PRICES AT KDBQ CHANGE DAILY AND ARE VALID UNTIL MIDNIGHT 24:00 EST.*** For commercial rates call the Avfuel contract fuel sales office.,
KDCA,SIGNATURE AVIATION,1,9.77660,,
KDCU,PRYOR FLIGHT CENTER,1,6.18000,,
KDDC,CROTTS AIRCRAFT SVC,1,4.53000,,
KDDC,CROTTS AIRCRAFT SVC,100,4.40000,,
KDDC,CROTTS AIRCRAFT SVC,301,4.29000,,
KDDC,CROTTS AIRCRAFT SVC,701,4.18000,,
KDDH,VERMONT AIRPORT SERVICES,1,7.06000,,
KDEC,GAITROS AVIATION LLC,1,5.52915,,
KDEC,GAITROS AVIATION LLC,251,5.47915,,
KDEC,GAITROS AVIATION LLC,501,5.42915,,
KDEC,GAITROS AVIATION LLC,1001,5.37915,,
KDEC,GAITROS AVIATION LLC,2001,5.27915,,
KDEN,SIGNATURE AVIATION,1,8.35830,,
KDET,AVFLIGHT DETROIT,1,7.83667,,
KDEW,AIRPORT,1,6.24815,,
KDEW,AIRPORT,501,6.14005,,
KDEW,AIRPORT,751,5.97790,,
KDEW,AIRPORT,1000,5.76170,,
KDFW,CORPORATE AVIATION,1,4.82109,,
KDHN,AERO-ONE AVIATION,1,6.85727,,
KDHN,AERO-ONE AVIATION,101,6.47727,,
KDHN,AERO-ONE AVIATION,251,6.37727,,
KDHN,AERO-ONE AVIATION,501,6.17727,,
KDHN,AERO-ONE AVIATION,1001,5.97727,,
KDHN,AERO-ONE AVIATION,2001,5.77727,,
KDHT,STARTLINK AVIATION,1,5.40846,N/A,
KDHT,STARTLINK AVIATION,101,5.30846,N/A,
KDHT,STARTLINK AVIATION,301,5.20846,N/A,
KDHT,STARTLINK AVIATION,601,5.10846,N/A,
KDHT,STARTLINK AVIATION,901,5.00846,N/A,
KDIJ,TETON AVIATION CTR,1,7.93115,,
KDIK,WESTERN EDGE AVIATION LLC,1,5.45600,,
KDIK,WESTERN EDGE AVIATION LLC,301,5.30600,,
KDIK,WESTERN EDGE AVIATION LLC,501,5.25600,,
KDIK,WESTERN EDGE AVIATION LLC,1001,5.15600,,
KDIK,WESTERN EDGE AVIATION LLC,1501,5.00600,,
KDKB,DEKALB FLIGHT CENTER,1,4.70989,1) Minimum Notice Required: None 2) Ramps serviced: Own ramp 3) Operating Hours: 0730-1700L 7 Days 4) Additional Information: Fuel is premixed & Avgas is available. After hours service is also available call GFL for more information. Unicom 122.700. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
KDKK,CENTRIC AVIATION,1,6.06788,,
KDKK,CENTRIC AVIATION,103,6.00308,,
KDKK,CENTRIC AVIATION,399,5.80868,,
KDKK,CENTRIC AVIATION,503,5.68988,,
KDKK,CENTRIC AVIATION,1003,5.46308,,
KDLH,VANTAGE AVIATION,1,6.14036,,
KDLL,SPRING CITY AVIATION,1,5.26093,,
KDLL,SPRING CITY AVIATION,301,5.16093,,
KDLL,SPRING CITY AVIATION,501,5.06093,,
KDLN,DILLON FLYING SVC,1,6.94000,,
KDLS,HOOD AERO,1,6.73000,,
KDLZ,DELAWARE MUNICIPAL AIRPORT,1,5.13000,,
KDMA,DAVIS MONTHAN OPS,1,3.76683,ALL REQUESTS FOR PRICING AND AUTHORIZATION MUST BE VALIDATED THROUGH DISPATCH@AEGFUELS.COM WITH NO LESS THAN 48 HOURS NOTICE FOR FUELINGS M-F AND 72 HOURS FOR WEEKEND FUELINGS,
KDMN,DESERT AVIATION,1,4.76896,,
KDMO,SEDALIA REG AIRPORT,1,4.78017,1) Minimum Notice Required: One hour notice 2) Ramps serviced: All ramps 3) Additional Information: UNICOM 122.8 Jet-A (premixed) and 100LL available 4) Operating Hours: Monday - Friday 0700-1800 LCL and Saturday-Sunday 0800-1800 LCL For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
KDMO,SEDALIA REG AIRPORT,301,4.63017,1) Minimum Notice Required: One hour notice 2) Ramps serviced: All ramps 3) Additional Information: UNICOM 122.8 Jet-A (premixed) and 100LL available 4) Operating Hours: Monday - Friday 0700-1800 LCL and Saturday-Sunday 0800-1800 LCL For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
KDMO,SEDALIA REG AIRPORT,601,4.48017,1) Minimum Notice Required: One hour notice 2) Ramps serviced: All ramps 3) Additional Information: UNICOM 122.8 Jet-A (premixed) and 100LL available 4) Operating Hours: Monday - Friday 0700-1800 LCL and Saturday-Sunday 0800-1800 LCL For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
KDMW,SKYTECH INC,1,6.08985,1) Minimum Notice Required: Only for after hours at least 12 hour notice. 2) Ramps serviced: Own ramp 3) Operating Hours: Mon-Fri 0600-2000L Sat & Sun 0800-1900L 4) Additional Information: Fuel is premixed Avgas is available. After hours service is also available call GFL for more information. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
KDMW,SKYTECH INC,251,5.88985,1) Minimum Notice Required: Only for after hours at least 12 hour notice. 2) Ramps serviced: Own ramp 3) Operating Hours: Mon-Fri 0600-2000L Sat & Sun 0800-1900L 4) Additional Information: Fuel is premixed Avgas is available. After hours service is also available call GFL for more information. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
KDMW,SKYTECH INC,501,5.68985,1) Minimum Notice Required: Only for after hours at least 12 hour notice. 2) Ramps serviced: Own ramp 3) Operating Hours: Mon-Fri 0600-2000L Sat & Sun 0800-1900L 4) Additional Information: Fuel is premixed Avgas is available. After hours service is also available call GFL for more information. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
KDNA,FRANCIS AVIATION,1,5.91000,,
KDNN,DALTON MUNICIPAL,1,5.30000,,
KDPA,DUPAGE FLIGHT CENTER,1,6.50000,,
KDPA,DUPAGE FLIGHT CENTER,301,6.38000,,
KDRO,AVFLIGHT DURANGO,1,8.56353,,
KDRT,PICO AVIATION,1,5.40299,Uplifts below 50 gallons will be charged at the retail rate. Contact Avfuel Contract Fuel with any questions 1-800-466-2778.,
KDRT,PICO AVIATION,351,5.30299,Uplifts below 50 gallons will be charged at the retail rate. Contact Avfuel Contract Fuel with any questions 1-800-466-2778.,
KDRT,PICO AVIATION,501,5.20299,Uplifts below 50 gallons will be charged at the retail rate. Contact Avfuel Contract Fuel with any questions 1-800-466-2778.,
KDSM,MODERN AVIATION,1,5.32300,,
KDSM,SIGNATURE AVIATION,1,6.19460,,
KDTN,TUBREAUX AVIATION,1,5.34834,,
KDTO,SHELTAIR,1,5.11107,,
KDTS,ATLANTIC AVIATION,1,7.79000,,
KDTW,SIGNATURE AVIATION,1,7.60910,,
KDUA,DURANT REGIONAL,1,4.97000,,
KDUX,MOORE COUNTY AIRPORT,1,3.73000,,
KDVL,FOSS & MEIER,1,6.23630,***PRICES AT KDVL CHANGE DAILY AND ARE VALID UNTIL MIDNIGHT 24:00 EST.*** For commercial rates call the Avfuel contract fuel sales office.,
KDVN,JET AIR INC,1,4.95000,,
KDVN,JET AIR INC,100,4.91000,,
KDVN,JET AIR INC,250,4.76000,,
KDVN,JET AIR INC,500,4.71000,,
KDVN,JET AIR INC,750,4.66000,,
KDVN,JET AIR INC,1000,4.61000,,
KDVO,SKYSHARE,1,5.89000,,
KDVT,CUTTER AVIATION,1,5.90000,,
KDWA,DAVIS FLIGHT SUPPORT LLC,1,6.57845,,
KDWA,DAVIS FLIGHT SUPPORT LLC,250,6.32845,,
KDWA,DAVIS FLIGHT SUPPORT LLC,500,6.07845,,
KDWA,DAVIS FLIGHT SUPPORT LLC,1000,5.57845,,
KDWA,DAVIS FLIGHT SUPPORT LLC,2000,5.32845,,
KDWH,GILL AVIATION,1,4.47070,,
KDXR,BUSINESS AIRCRAFT CENTER,1,4.50000,,
KDXR,EXECUTIVE AIR SERVICE,1,4.62380,,
KDXR,EXECUTIVE AIR SERVICE,251,4.52380,,
KDXR,RELIANT AIR,1,4.81587,,
KDZB,RESORT JET CENTER,1,5.92000,,
KE16,SAN MARTIN AVIATION CORP,1,5.87000,,
KE25,TOWN OF WICKENBURG,1,5.76757,OPERATING HOURS ARE FROM TUS-SAT 0700-1600.PRICE SUBJECT TO CHANGE AT ANYTIME,
KEAR,KEARNEY FLIGHT SERVICES,1,4.49000,,
KEAR,KEARNEY FLIGHT SERVICES,100,4.29000,,
KEAR,KEARNEY FLIGHT SERVICES,300,4.14000,,
KEAR,KEARNEY FLIGHT SERVICES,500,4.04000,,
KEAR,KEARNEY FLIGHT SERVICES,700,3.84000,,
KEAT,PANGBORN AVIATION SERVICES,1,6.46418,,
KEAT,PANGBORN AVIATION SERVICES,201,6.30158,,
KEAT,PANGBORN AVIATION SERVICES,401,6.13898,,
KEAT,PANGBORN AVIATION SERVICES,701,6.03058,,
KEAT,PANGBORN AVIATION SERVICES,1001,5.92218,,
KEAU,ASCENSION FBO NETWORK,1,6.23000,,
KEAU,ASCENSION FBO NETWORK,301,6.19000,,
KEAU,ASCENSION FBO NETWORK,401,6.14000,,
KEAU,ASCENSION FBO NETWORK,501,6.04000,,
KEAU,ASCENSION FBO NETWORK,601,5.84000,,
KEAU,ASCENSION FBO NETWORK,701,5.69000,,
KEAU,ASCENSION FBO NETWORK,801,5.44000,,
KEAU,ASCENSION FBO NETWORK,1001,5.19000,,
KEBG,SOUTH TEXAS INTERNATIONAL AIRPORT AT EDINBURG,1,5.43300,,
KECG,ELIZABETH CITY AIRPORT AUTHORITY,1,5.05000,,
KECP,SHELTAIR,1,5.36749,,
KECP,SOUTHERN SKY AVIATION,1,5.25000,,
KECP,SOUTHERN SKY AVIATION,250,5.23000,,
KECP,SOUTHERN SKY AVIATION,500,5.22000,,
KECP,SOUTHERN SKY AVIATION,750,5.20000,,
KECP,SOUTHERN SKY AVIATION,1000,5.01000,,
KEDC,HENRIKSEN JET CENTER,1,5.64821,,
KEDW,EDWARDS OPS ? JP8,1,4.22724,ALL REQUESTS FOR PRICING AND AUTHORIZATION MUST BE VALIDATED THROUGH DISPATCH@AEGFUELS.COM WITH NO LESS THAN 48 HOURS NOTICE FOR FUELINGS M-F AND 72 HOURS FOR WEEKEND FUELINGS.,
KEEN,MONADNOCK AVIATION,1,6.21300,,
KEET,SHELBY COUNTY AIRPORT,1,5.44000,,
KEET,SHELBY COUNTY AIRPORT,200,5.24000,,
KEET,SHELBY COUNTY AIRPORT,300,5.22000,,
KEFD,SIGNATURE AVIATION,1,6.25660,,
KEFK,LAKEVIEW AVIATION,1,6.34000,,
KEFK,LAKEVIEW AVIATION,301,6.28000,,
KEFT,TOUCH & GO AVIATION,1,4.52000,,
KEGE,SIGNATURE AVIATION,1,8.92050,,
KEGV,EAGLE RIVER UNION AIRPORT,1,7.17357,***PRICES AT KEGV CHANGE DAILY AND ARE VALID UNTIL MIDNIGHT  24:00 EST.***,
KEGV,EAGLE RIVER UNION AIRPORT,301,7.07357,***PRICES AT KEGV CHANGE DAILY AND ARE VALID UNTIL MIDNIGHT  24:00 EST.***,
KEGV,EAGLE RIVER UNION AIRPORT,501,6.97357,***PRICES AT KEGV CHANGE DAILY AND ARE VALID UNTIL MIDNIGHT  24:00 EST.***,
KEHO,CITY OF SHELBY,1,5.28000,,
KEHR,DON DAVIS AVIATION,1,5.55620,,
KEHR,DON DAVIS AVIATION,201,5.20620,,
KEHR,DON DAVIS AVIATION,501,4.85620,,
KEHR,DON DAVIS AVIATION,1001,4.75620,,
KEHR,DON DAVIS AVIATION,2000,4.55620,,
KEKO,MOUNTAIN WEST AVIATION,1,7.05000,,
KEKO,MOUNTAIN WEST AVIATION,201,6.99000,,
KEKO,MOUNTAIN WEST AVIATION,501,6.94000,,
KEKO,MOUNTAIN WEST AVIATION,1001,6.66000,,
KEKS,ASCENSION FBO NETWORK,1,7.11000,,
KEKS,ASCENSION FBO NETWORK,301,7.07000,,
KEKS,ASCENSION FBO NETWORK,401,7.02000,,
KEKS,ASCENSION FBO NETWORK,501,6.92000,,
KEKS,ASCENSION FBO NETWORK,601,6.72000,,
KEKS,ASCENSION FBO NETWORK,701,6.57000,,
KEKS,ASCENSION FBO NETWORK,801,6.32000,,
KEKS,ASCENSION FBO NETWORK,1001,6.07000,,
KEKX,ELIZABETHTOWN FLYING SERVICE,1,6.78000,,
KEKX,ELIZABETHTOWN FLYING SERVICE,101,6.71000,,
KEKX,ELIZABETHTOWN FLYING SERVICE,201,6.61000,,
KEKX,ELIZABETHTOWN FLYING SERVICE,301,6.51000,,
KEKX,ELIZABETHTOWN FLYING SERVICE,401,6.41000,,
KEKY,BESSEMER AIRPORT FBO,1,6.52188,Fuel price changes on Mondays. For fuelings occurring on a Monday contact Avfuel for an updated price,
KELD,SOUTH ARKANSAS REGIONAL AIRPORT,1,4.73960,,
KELD,SOUTH ARKANSAS REGIONAL AIRPORT,301,4.63110,,
KELD,SOUTH ARKANSAS REGIONAL AIRPORT,601,4.52260,,
KELM,ATLANTIC AVIATION,1,5.11980,,
KELM,PREMIER AVIATION,1,5.16633,,
KELM,PREMIER AVIATION,251,5.10153,,
KELM,PREMIER AVIATION,501,5.04753,,
KELM,PREMIER AVIATION,751,4.99353,,
KELM,PREMIER AVIATION,1001,4.93953,,
KELP,ATLANTIC AVIATION,1,6.76000,,
KELP,MILLION AIR EL PASO,1,6.40000,,
KELP,MILLION AIR EL PASO,201,6.35000,,
KELP,MILLION AIR EL PASO,401,6.30000,,
KELP,MILLION AIR EL PASO,601,6.23000,,
KELP,MILLION AIR EL PASO,801,6.12000,,
KELP,MILLION AIR EL PASO,1001,6.05000,,
KELY,ELY JET CENTER,1,5.23963,,
KEMP,CITY OF EMPORIA,1,4.83466,,
KENV,WENDOVER AIRPORT,1,4.51255,,
KENV,WENDOVER AIRPORT,251,4.36255,,
KENV,WENDOVER AIRPORT,501,4.26255,,
KENV,WENDOVER AIRPORT,1001,4.16255,,
KENW,AVP/KENOSHA AVIATION,1,4.84104,,
KENW,AVP/KENOSHA AVIATION,250,4.79104,,
KENW,AVP/KENOSHA AVIATION,500,4.74104,,
KENW,STEIN'S AIRCRAFT SERVICES,1,4.04000,,
KEPH,PORT OF EPHRATA,1,6.45388,,
KEQY,CHARLOTTE-MONROE EXEC AIRPORT,1,6.46000,,
KEQY,CHARLOTTE-MONROE EXEC AIRPORT,300,6.36000,,
KEQY,CHARLOTTE-MONROE EXEC AIRPORT,500,6.25000,,
KEQY,CHARLOTTE-MONROE EXEC AIRPORT,1000,6.15000,,
KERI,NORTH COAST AIR,1,5.68000,,
KERV,KERRVILLE AVIATION,1,5.35281,***PRICES AT KERV CHANGE DAILY AND ARE VALID UNTIL MIDNIGHT  24:00 EST.***,
KESF,FREEMAN JET CENTER,1,5.95000,,
KESF,FREEMAN JET CENTER,176,5.85000,,
KESF,FREEMAN JET CENTER,476,5.74000,,
KESF,FREEMAN JET CENTER,1126,5.64000,,
KESF,FREEMAN JET CENTER,2176,5.53000,,
KESN,EASTON JET SERVICE,1,4.59300,,
KESN,MARYLAND AIR,1,5.14000,,
KESN,NEXGEN FLIGHT SOLUTIONS,1,4.23189,,
KESN,TRIDENT AIRCRAFT INC,1,4.77000,,
KEST,ESTHERVILLE AVIATION,1,4.48759,1) Minimum Notice Required: None. 24 Hours Self Service FBO 2) Ramps serviced: Own ramp 3) Additional Information: Prist and Avgas available Prist is pre-mixed Operating Hours: 7am - 7pm daily FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com .,
KEST,ESTHERVILLE AVIATION,151,4.38759,1) Minimum Notice Required: None. 24 Hours Self Service FBO 2) Ramps serviced: Own ramp 3) Additional Information: Prist and Avgas available Prist is pre-mixed Operating Hours: 7am - 7pm daily FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com .,
KETB,WEST BEND AIR,1,5.56000,,
KETB,WEST BEND AIR,301,5.47000,,
KETB,WEST BEND AIR,501,5.40000,,
KETB,WEST BEND AIR,1001,5.27000,,
KEUG,ATLANTIC AVIATION,1,7.30300,,
KEUL,QMULUS AVIATION,1,5.78000,,
KEUL,SILVERHAWK AVIATION ACADEMY,1,6.06115,N/A,
KEVV,UNITED COMPANIES AIR CENTER,1,5.81716,$200 flat into wing rate will be applied to GA uplifts under 84 gallons.,
KEVW,EVANSTON AVIATION,1,4.82220,,
KEWB,COLONIAL AIR,1,4.82037,,
KEWB,NOR EAST AVIATION SERVICES INC,1,4.87056,1) Minimum Notice Required: None 2) Operating Hours: Mon-Fri 0600-1900 Sat -Sun 0700-1900 3) Ramps serviced: FBO Ramp 4) Additional Information: Prist is available for an additional fee for more information please contact your local fuel logistics team on fuel24@wfscorp.com .,
KEWK,METRO NORTH FLIGHT SUPPORT,1,4.15688,,
KEWN,TIDEWATER AIR SERVICES,1,5.60000,,
KEWR,SIGNATURE AVIATION,1,9.51920,,
KEXX,FLY HIGH LEXINGTON,1,5.20000,,
KEYE,JET ACCESS,1,4.92859,,
KEYW,SIGNATURE AVIATION,1,7.68470,,
KEZF,SHANNON AIRPORT LLC,1,6.10000,,
KEZM,HEART OF GEORGIA REGIONAL AIRPORT,1,4.38524,,
KEZM,HEART OF GEORGIA REGIONAL AIRPORT,101,4.13274,,
KEZM,HEART OF GEORGIA REGIONAL AIRPORT,301,3.93074,,
KEZM,HEART OF GEORGIA REGIONAL AIRPORT,501,3.77924,,
KEZM,HEART OF GEORGIA REGIONAL AIRPORT,1001,3.67824,,
KF05,WILBARGER CO AIRPORT,1,4.33000,,
KF70,THE JET CENTER,1,5.17000,,
KF70,THE JET CENTER,6000,5.13000,,
KF70,THE JET CENTER,8001,5.08000,,
KF70,THE JET CENTER,10001,5.03000,,
KF70,THE JET CENTER,12001,4.98000,,
KF70,THE JET CENTER,20001,4.83000,,
KF82,CLEARTECH AVIATION,1,5.33367,,
KF82,CLEARTECH AVIATION,301,5.13367,,
KF82,CLEARTECH AVIATION,501,4.93367,,
KF82,CLEARTECH AVIATION,1001,4.73367,,
KFAM,FARMINGTON REGIONAL AIRPORT,1,4.06000,,
KFAR,FARGO JET CENTER,1,4.35000,,
KFAT,ATLANTIC AVIATION,1,6.01930,,
KFAT,SIGNATURE AVIATION,1,6.22120,,
KFAY,SIGNATURE AVIATION,1,6.67500,,
KFCH,FLIGHT LEVEL AVIATION,1,5.49000,,
KFCI,VANTAGE AVIATION,1,6.33000,,
KFCM,THUNDERBIRD AVIATION,1,4.88210,,
KFDK,SIGNATURE AVIATION,1,6.82310,,
KFDY,CITY OF FINDLAY,1,5.17000,,
KFFC,ATLANTA REGIONAL AIRPORT,1,6.63000,,
KFFL,FAIRFIELD FLYING SVC,1,5.43300,,
KFFM,FERGUS FALLS MUNICIPAL AIRPORT,1,5.43000,,
KFFT,CAPITAL CITY AIRPORT,1,4.26000,,
KFFZ,CUNNINGHAM AVIATION,1,4.96980,,
KFFZ,HELIPONENTS INC,1,4.66000,,
KFFZ,HELIPONENTS INC,251,4.61000,,
KFFZ,HELIPONENTS INC,501,4.56000,,
KFFZ,HELIPONENTS INC,1001,4.51000,,
KFHB,BENT WING FLIGHT SERVICES,1,5.91715,,
KFIN,FLAGLER EXECUTIVE,1,4.49300,,
KFIT,FITCHBURG MUNICIPAL,1,5.35000,,
KFKR,JET ACCESS,1,4.84628,,
KFLD,FOND DU LAC SKYPORT,1,5.72000,,
KFLD,FOND DU LAC SKYPORT,301,5.63000,,
KFLD,FOND DU LAC SKYPORT,501,5.48000,,
KFLD,FOND DU LAC SKYPORT,1001,5.33000,,
KFLG,WISEMAN AVIATION,1,7.75000,,
KFLL,FONTAINEBLEAU AVIATION,1,4.32850,,
KFLL,NATIONAL JETS,1,4.01040,,
KFLL,SHELTAIR,1,4.51498,Commercial rates available. Please call for details.,
KFLL,SIGNATURE AVIATION,1,5.75770,,
KFLO,PRECISION AIR INC,1,5.58300,,
KFMN,ATLANTIC AVIATION,1,7.18610,,
KFMY,BASE OPERATIONS AT PAGE FIELD,1,5.43144,,
KFNL,JETCENTERS OF COLORADO,1,6.66296,,
KFNT,AVFLIGHT FLINT,1,7.46805,,
KFOD,FT DODGE FLT SUPPORT,1,4.25000,,
KFOE,MILLION AIR TOPEKA,1,6.17000,,
KFOE,MILLION AIR TOPEKA,176,6.07000,,
